2026-08-28 22:50:23,795 | INFO | main | Performance (last 1 frames): average FPS 0.00, median frame 89.27 ms, p95 frame 89.27 ms, dropped frames 12, pacing error 0.01 ms, scheduled 1643.874558, actual 1643.874564, late 0, generated-late drops 2, real-late drops 2, source 3.87 FPS, presentation 0.00 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:50:28,800 | INFO | main | Performance (last 60 frames): average FPS 39.56, median frame 81.22 ms, p95 frame 94.81 ms, dropped frames 45, pacing error 14.68 ms, scheduled 1648.865126, actual 1648.879806, late 116, generated-late drops 49, real-late drops 39, source 29.03 FPS, presentation 41.30 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:50:33,809 | INFO | main | Performance (last 60 frames): average FPS 42.03, median frame 83.44 ms, p95 frame 97.34 ms, dropped frames 55, pacing error 2.54 ms, scheduled 1653.885982, actual 1653.888524, late 274, generated-late drops 82, real-late drops 67, source 27.05 FPS, presentation 42.43 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:50:38,841 | INFO | main | Performance (last 60 frames): average FPS 39.02, median frame 83.38 ms, p95 frame 96.45 ms, dropped frames 62, pacing error 16.44 ms, scheduled 1658.903338, actual 1658.919782, late 391, generated-late drops 136, real-late drops 106, source 25.81 FPS, presentation 37.57 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:50:43,857 | INFO | main | Performance (last 60 frames): average FPS 39.08, median frame 83.24 ms, p95 frame 97.13 ms, dropped frames 75, pacing error 32.13 ms, scheduled 1663.904112, actual 1663.936245, late 493, generated-late drops 199, real-late drops 149, source 26.62 FPS, presentation 32.46 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:50:48,862 | INFO | main | Performance (last 60 frames): average FPS 52.20, median frame 78.66 ms, p95 frame 94.76 ms, dropped frames 90, pacing error 5.93 ms, scheduled 1668.935755, actual 1668.941681, late 632, generated-late drops 226, real-late drops 189, source 25.19 FPS, presentation 50.83 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:50:53,865 | INFO | main | Performance (last 60 frames): average FPS 44.47, median frame 82.99 ms, p95 frame 97.75 ms, dropped frames 98, pacing error 0.02 ms, scheduled 1673.944262, actual 1673.944282, late 836, generated-late drops 241, real-late drops 208, source 25.56 FPS, presentation 49.57 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:50:58,921 | INFO | main | Performance (last 60 frames): average FPS 11.83, median frame 89.03 ms, p95 frame 98.50 ms, dropped frames 146, pacing error 0.02 ms, scheduled 1678.999630, actual 1678.999651, late 879, generated-late drops 324, real-late drops 267, source 19.67 FPS, presentation 18.74 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:51:04,008 | INFO | main | Performance (last 60 frames): average FPS 11.60, median frame 88.98 ms, p95 frame 99.24 ms, dropped frames 191, pacing error 0.02 ms, scheduled 1684.087340, actual 1684.087356, late 920, generated-late drops 412, real-late drops 332, source 24.09 FPS, presentation 11.78 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:51:09,029 | INFO | main | Performance (last 60 frames): average FPS 10.69, median frame 92.57 ms, p95 frame 98.19 ms, dropped frames 260, pacing error 47.78 ms, scheduled 1689.060758, actual 1689.108542, late 967, generated-late drops 500, real-late drops 378, source 16.38 FPS, presentation 10.97 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
